index,horizon,factor,spearman_ic,ic_t_stat,direction_win_rate,top_mean_ret,bottom_mean_ret,top_minus_bottom,obs
CSI1000,5,cf_crowding_mom20_beta_ratio_chg20,0.1283048166699032,6.489372957457665,0.5424940428911835,0.006269836632201885,-0.004145972368958177,0.010415809001160061,2518
CSI1000,5,cf_crowding_mom20_amount_ratio_chg20,0.11024029974848912,5.563535254707002,0.545671167593328,0.004219910190305021,-0.0032003281694344817,0.007420238359739503,2518
CSI1000,5,cf_crowding_mom20_vol_ratio_chg20,0.10359058678621175,5.2241833845178975,0.5452740270055599,0.00510376778362361,-0.0036672715320349284,0.008771039315658539,2518
CSI1000,5,cf_crowding_amount20_beta_ratio_chg20,0.09926579202246207,5.003861096027487,0.5321683876092137,0.0029678745049515733,-0.004087763893334416,0.00705563839828599,2518
CSI1000,5,cf_crowding_amount20_beta_ratio,0.08074747868200916,4.079660886254411,0.5240346729708432,0.003985051047811413,-0.0024273653961869135,0.006412416443998327,2538
CSI1000,5,cf_crowding_mom20_beta_ratio,0.0796321778756364,4.0229496291847076,0.5240346729708432,0.005691080061337497,-0.0021728413276483217,0.007863921388985819,2538
CSI1000,5,cf_crowding_mom20_beta_ratio_z,0.07847412605625645,3.9153239729378315,0.5302907915993538,0.0052933213588818905,-0.0023431229627497653,0.007636444321631656,2476
CSI1000,5,cf_crowding_mom20_amount_ratio,0.07771855074355395,3.9256800617473493,0.5240346729708432,0.0028411177376523487,-0.003153495107352944,0.005994612845005293,2538
CSI1000,5,cf_crowding_amount20_beta_ratio_z,0.07541323387580684,3.761714988390348,0.5173667205169629,0.004350693378467617,-0.0024787861768279648,0.0068294795552955815,2476
CSI1000,5,cf_crowding_amount20_vol_ratio,0.07245612402497413,3.658412942474207,0.5240346729708432,0.002746730563880844,-0.001467512944938859,0.004214243508819703,2538
CSI1000,5,cf_crowding_mom20_amount_ratio_z,0.07152956008120451,3.5669685715427843,0.5210016155088854,0.0020444376561874647,-0.0034564451689822083,0.0055008828251696725,2476
CSI1000,5,cf_crowding_amount20_vol_ratio_chg20,0.06519226341442393,3.2769983842649095,0.5154884829229547,0.001876757042329682,-0.0019286834216231483,0.0038054404639528304,2518
CSI1000,5,cf_crowding_mom20_vol_ratio,0.06372833279248899,3.2158136733199565,0.5240346729708432,0.00509934120571829,-0.0009238535044109676,0.006023194710129257,2538
CSI1000,5,cf_limit_up_like_ratio,0.05847359803698934,2.966519697745501,0.5212310089598753,0.0027586467296098127,-0.002120004422319194,0.004878651151929007,2567
CSI1000,5,cf_crowding_mom20_vol_ratio_z,0.05612129441747713,2.7958414106831944,0.5302907915993538,0.005111650242057461,-0.001444982881595526,0.006556633123652986,2476
CSI1000,5,cf_amount_ratio20_mean_z,0.054847782808770874,2.743225598802826,0.5348557692307693,0.005294793567353094,-0.0010067235784758952,0.006301517145828989,2496
CSI1000,5,cf_mom20_dispersion_chg20,0.054497433015236164,2.7425377734990377,0.5373961218836565,0.0034905647868833964,-0.0010840866659126717,0.004574651452796068,2527
CSI1000,5,cf_limit_up_like_ratio_chg20,0.05376764949026655,2.716399349381587,0.5123674911660777,0.004133150521209762,-0.0023708448825596707,0.006503995403769433,2547
CSI1000,5,cf_crowding_amount20_amount_ratio,0.05295535352140119,2.670510507246264,0.5240346729708432,0.001376346466670974,-0.000424000815642499,0.001800347282313473,2538
CSI1000,5,cf_amount_ratio20_mean_chg20,0.05136526592319663,2.5901078122449874,0.524822695035461,0.004505276804610444,-0.00048643388206280955,0.004991710686673254,2538
CSI1000,5,cf_mom20_dispersion,0.05063574319661111,2.5577527354973135,0.5245386729485669,0.00025421135883666005,-0.0017142912348887202,0.00196850259372538,2547
CSI1000,5,cf_spread_mom20_next_concentration_chg20,0.050581257075855326,2.544934357755795,0.5385833003561535,0.001686163069341566,-0.0030139074385374383,0.004700070507879004,2527
CSI1000,5,cf_weighted_above_ma20_chg20,0.050217587294880496,2.536576889932031,0.524931291715744,0.004261533083432174,-5.710112250844755e-05,0.004318634205940621,2547
CSI1000,5,cf_crowding_amount20_vol_ratio_z,0.049968707853180375,2.4885182701901303,0.5157512116316639,0.0021380476921795716,-0.0008521547766532977,0.002990202468832869,2476
