index,horizon,factor,spearman_ic,ic_t_stat,direction_win_rate,top_mean_ret,bottom_mean_ret,top_minus_bottom,obs
CSI1000,5,cf_crowding_mom20_beta_ratio_chg20,0.12471788021169423,6.389680563982578,0.5433101314771849,0.006249880773203495,-0.004180882345565294,0.010430763118768789,2586
CSI1000,5,cf_crowding_mom20_amount_ratio_chg20,0.11161474827085299,5.709394057243956,0.5425367362722351,0.00566738397747043,-0.002995893136560153,0.008663277114030582,2586
CSI1000,5,cf_crowding_mom20_vol_ratio_chg20,0.1068203392777341,5.46125216161659,0.5452436194895591,0.005490929081064636,-0.004126864915260064,0.0096177939963247,2586
CSI1000,5,cf_crowding_amount20_beta_ratio_chg20,0.1007396047343278,5.147086505612053,0.5340293890177881,0.0034582341350724295,-0.0036136424009445426,0.007071876536016972,2586
CSI1000,5,cf_crowding_amount20_beta_ratio,0.0800604549769985,4.082823744553044,0.5239752513534416,0.004046835776741454,-0.0022038933516502256,0.006250729128391679,2586
CSI1000,5,cf_crowding_mom20_beta_ratio,0.0786652123925448,4.0112238895808465,0.5239752513534416,0.005420333626600713,-0.002358532703166517,0.007778866329767231,2586
CSI1000,5,cf_crowding_amount20_vol_ratio_chg20,0.07720757309581124,3.936447340545133,0.517014694508894,0.0022215926447787288,-0.0015773415851046137,0.0037989342298833427,2586
CSI1000,5,cf_crowding_amount20_vol_ratio,0.0760823436412469,3.8787407303164874,0.5239752513534416,0.002528881554603262,-0.0013737980120016016,0.0039026795666048638,2586
CSI1000,5,cf_crowding_amount20_beta_ratio_z,0.07469638610836031,3.807683323654177,0.5177880897138438,0.00472408907893765,-0.0022867442371183357,0.007010833316055985,2586
CSI1000,5,cf_crowding_mom20_amount_ratio,0.07437728453941472,3.791326290581594,0.5239752513534416,0.0030666912664419925,-0.0025644154563150565,0.005631106722757049,2586
CSI1000,5,cf_crowding_mom20_beta_ratio_z,0.07297071337324931,3.719239840285217,0.5247486465583914,0.00532723651055328,-0.002386107620084741,0.007713344130638022,2586
CSI1000,5,cf_crowding_mom20_amount_ratio_z,0.07204564786982477,3.6718426347896966,0.5247486465583914,0.0028662880784706846,-0.0033302312358657903,0.0061965193143364745,2586
CSI1000,5,cf_crowding_mom20_vol_ratio,0.05879380383410629,2.9938478776845994,0.5239752513534416,0.005455905953592693,-0.000665992027770934,0.006121897981363627,2586
CSI1000,5,cf_crowding_amount20_amount_ratio,0.05763923914001943,2.934858176847675,0.5239752513534416,0.001438660612057647,-0.0009382490353378898,0.002376909647395537,2586
CSI1000,5,cf_crowding_amount20_vol_ratio_z,0.05585717676918609,2.8438311009615083,0.5158546017014695,0.0023710048010154652,-0.000765873711441461,0.0031368785124569263,2586
CSI1000,5,cf_limit_up_like_ratio_chg20,0.055349653540428125,2.81791203175219,0.5119876256767208,0.00390741853086178,-0.0025960749182487863,0.006503493449110566,2586
CSI1000,5,cf_crowding_amount20_amount_ratio_chg20,0.05523991131502449,2.812307815815342,0.5061871616395979,0.0015801059691955342,-0.0008720687332840983,0.0024521747024796323,2586
CSI1000,5,cf_limit_up_like_ratio,0.0535059500084048,2.723772894067985,0.520108275328693,0.0027640480536337097,-0.001991882154142545,0.004755930207776255,2586
CSI1000,5,cf_crowding_mom20_vol_ratio_z,0.04962637633555038,2.525772696273681,0.5212683681361175,0.005179259350754475,-0.0009941211181363002,0.006173380468890775,2586
CSI1000,5,cf_weighted_above_ma20_chg20,0.04507753166379267,2.293760503832691,0.5239752513534416,0.004236257969108556,-9.485184469404884e-05,0.004331109813802605,2586
CSI1000,5,cf_amount_ratio20_mean_z,0.04481850155432064,2.2805532062844187,0.5320959010054138,0.005400488665049675,-0.0008775431374214019,0.006278031802471077,2586
CSI1000,5,cf_spread_mom20_next_concentration_chg20,0.04430683560711942,2.2544659909463776,0.5363495746326373,0.0017051944006063198,-0.00271947454342858,0.004424668944034899,2586
CSI1000,5,cf_big_down_ratio_chg20,0.041825177688996025,2.1279638582182083,0.5092807424593968,0.0012416939208419184,0.0001098955887373717,0.0011317983321045468,2586
CSI1000,5,cf_crowding_amount20_amount_ratio_z,0.041824540458253026,2.127931380646385,0.5065738592420727,0.000831122381557658,9.186957135831344e-05,0.0007392528101993445,2586
CSI1000,5,cf_amount_concentration_top20,0.04073638737132441,2.0724755299716615,0.5239752513534416,0.0020419347892073024,0.0010462630144253647,0.0009956717747819377,2586
CSI1000,5,cf_amount_ratio20_mean_chg20,0.04011045998616273,2.0405795764241086,0.5204949729311679,0.004530411251949352,-0.0007360783869719595,0.005266489638921311,2586
CSI1000,5,cf_amount_concentration_top20_z,0.03955747725953843,2.012402733569237,0.5174013921113689,0.001594626537426777,0.0004871217774840325,0.0011075047599427444,2586
CSI1000,5,cf_big_down_ratio,0.039345218650665044,2.001587739883492,0.4980665119876257,0.0010989958214668684,0.0013620169905195607,-0.0002630211690526922,2586
CSI1000,5,cf_above_ma20_ratio_chg20,0.039089688038116466,1.9885683123529205,0.5185614849187935,0.004265552016871857,-0.0005128100884316959,0.004778362105303553,2586
CSI1000,5,cf_amount_concentration_top20_chg20,0.03905870602224464,1.9869897879381284,0.5185614849187935,0.001636105324659617,0.0013941257295480682,0.00024197959511154882,2586
CSI1000,5,cf_amount_ratio20_mean,0.038257887151612824,1.9461902849618404,0.5239752513534416,0.005987898733563651,-0.001156774006838851,0.007144672740402502,2586
CSI1000,5,cf_amount_ratio20_top20_z,0.037193346032005435,1.89196066451615,0.5220417633410673,0.005736699294397457,-0.0010748645205563027,0.00681156381495376,2586
CSI1000,5,cf_spread_mom20_next_concentration_z,0.03695101041888292,1.879616564778609,0.5177880897138438,0.0031769996181532202,-0.0011162591071297745,0.004293258725282995,2586
CSI1000,5,cf_amount_ratio20_top20_chg20,0.035898266262259795,1.8259956730953906,0.5158546017014695,0.004321968614121569,-0.0010246401903926095,0.0053466088045141785,2586
CSI1000,5,cf_limit_up_like_ratio_z,0.03457789320989906,1.7587518472783192,0.502706883217324,0.002621600950504661,-0.0016516344814342223,0.004273235431938883,2586
