ann_ret,ann_vol,sharpe,max_drawdown,win_rate,n_days,index,factor,bench_sharpe
0.11150251649770171,0.16488097736672777,0.6762606473983845,-0.33038198506483396,0.2427664079040226,2834,CSI1000,ext_CHINEXT_mom_20d,0.07788025042274226
0.017738622815363092,0.18898827672271648,0.09386096917212061,-0.4710944898281144,0.2537050105857445,2834,CSI1000,int_price_volume_confirm,0.07788025042274226
0.014091042620297367,0.18160207659914537,0.07759295975123051,-0.5571690174168928,0.2519407198306281,2834,CSI1000,hybrid_external_risk_on,0.07788025042274226
0.010271852081483734,0.18424998173972765,0.05574954192393788,-0.4799995110558727,0.27170077628793227,2834,CSI1000,rolling_ic_composite,0.07788025042274226
0.008461200719948492,0.1854635054762817,0.045621917358995276,-0.3832228405605219,0.2611150317572336,2834,CSI1000,hybrid_trend_liquidity,0.07788025042274226
-0.002705702171406088,0.17037636155312946,-0.015880736897661434,-0.3499821500193512,0.2508821453775582,2834,CSI1000,int_trend_vote,0.07788025042274226
-0.020280092404622696,0.1558305819063607,-0.13014192821797388,-0.5423682898365267,0.2784050811573747,2834,CSI1000,int_amplitude_20d,0.07788025042274226
-0.02521831396360874,0.16168806442143926,-0.1559689272912397,-0.5180699338327237,0.2801693719124912,2834,CSI1000,int_neg_vol_60d,0.07788025042274226
-0.036574996938981585,0.19793960110478304,-0.18477857252839427,-0.6089413287287857,0.29251940719830627,2834,CSI1000,composite,0.07788025042274226
-0.05402075153454067,0.16622656615914663,-0.32498265940728616,-0.6536541605969688,0.30310515172900493,2834,CSI1000,int_neg_vol_20d,0.07788025042274226
-0.05480982744939311,0.16283636819896066,-0.3365945092955159,-0.6042418717234934,0.2544107268877911,2834,CSI1000,int_defensive_trend,0.07788025042274226
-0.0925028564717395,0.18989093545683988,-0.4871367674775839,-0.7629115810624165,0.26217360621030344,2834,CSI1000,int_vol_down,0.07788025042274226
0.09725464639808878,0.15129072686366993,0.6428328319535819,-0.255411443784734,0.23429781227946367,2834,CSI500,ext_CHINEXT_mom_20d,0.13146403808421767
0.01920404266777731,0.15215912204226237,0.12621026206002534,-0.31129964440077995,0.24770642201834864,2834,CSI500,int_trend_vote,0.13146403808421767
0.0202507381268886,0.1697590109232022,0.1192910939852842,-0.3738819305302691,0.2508821453775582,2834,CSI500,hybrid_trend_liquidity,0.13146403808421767
0.014631373525791913,0.16805946823355075,0.08706069154912964,-0.43083352435993216,0.273817925194072,2834,CSI500,rolling_ic_composite,0.13146403808421767
0.01078371634443287,0.16651633612434819,0.06476071114356007,-0.49237984986199845,0.2455892731122089,2834,CSI500,hybrid_external_risk_on,0.13146403808421767
0.004476095919321743,0.14634961730326723,0.030584951309071958,-0.4542780648585949,0.2847565278757939,2834,CSI500,int_amplitude_20d,0.13146403808421767
-0.010603834007413049,0.1779428484610664,-0.05959123448410544,-0.5308520413459472,0.28334509527170076,2834,CSI500,composite,0.13146403808421767
-0.019792313962900265,0.15438190780397051,-0.1282035845031268,-0.4313863419319799,0.26887791107974596,2834,CSI500,int_donchian_60d,0.13146403808421767
-0.043007515776216865,0.1501984726801366,-0.2863379035005627,-0.5699447729353069,0.2854622441778405,2834,CSI500,int_neg_vol_20d,0.13146403808421767
-0.047362594315307316,0.1474173926038758,-0.3212822685215645,-0.5354765452842201,0.2459421312632322,2834,CSI500,int_defensive_trend,0.13146403808421767
-0.08531281134404123,0.17116296828255642,-0.49843031001429317,-0.743362560595334,0.24770642201834864,2834,CSI500,int_vol_down,0.13146403808421767
0.14389934627779377,0.21750655229887558,0.6615862591581232,-0.2881132799101055,0.2004950495049505,1616,STAR50,ext_CHINEXT_amount_ratio_20d,0.23790451394273604
0.12702721295797192,0.2223107917744293,0.5713947215250883,-0.22835581371576497,0.2042079207920792,1616,STAR50,int_amount_ratio_20d,0.23790451394273604
0.12301966670865472,0.22473592718068083,0.547396530016096,-0.2836147853632459,0.2202970297029703,1616,STAR50,composite,0.23790451394273604
0.12333931649913632,0.22691662100057802,0.5435446551040531,-0.4472362763450102,0.23576732673267325,1616,STAR50,rolling_ic_composite,0.23790451394273604
0.11329613045789211,0.2691714796613522,0.4209068902858182,-0.46234038635626873,0.2902227722772277,1616,STAR50,ext_hsgt_north_money_20d,0.23790451394273604
0.11040681996058077,0.2808209810883363,0.39315730446027713,-0.5122234689332066,0.32425742574257427,1616,STAR50,ext_shibor_3m_level,0.23790451394273604
0.0611602597135088,0.23182835297193002,0.26381699619336096,-0.45972878011493234,0.23081683168316833,1616,STAR50,ext_shibor_on_level,0.23790451394273604
0.049744723122838286,0.21876342052972866,0.22739049792868946,-0.42385445750322426,0.18193069306930693,1616,STAR50,hybrid_trend_liquidity,0.23790451394273604
0.020690185733408972,0.2149423796581951,0.0962592196397511,-0.3958557163992116,0.1806930693069307,1616,STAR50,hybrid_external_risk_on,0.23790451394273604
0.024091198737054897,0.25617008380143974,0.09404376334485744,-0.4756133438865957,0.21596534653465346,1616,STAR50,int_trend_vote,0.23790451394273604
-0.03411955930312205,0.22650235269351643,-0.1506366662305257,-0.6177122505737676,0.23391089108910892,1616,STAR50,int_donchian_60d,0.23790451394273604
-0.11539936923166072,0.19363901131584446,-0.5959510351115813,-0.5734102966540808,0.19925742574257427,1616,STAR50,int_defensive_trend,0.23790451394273604
