ann_ret,ann_vol,sharpe,max_drawdown,win_rate,n_days,index,strategy,mode,window,top_n,benchmark_ann_ret,benchmark_sharpe,benchmark_max_drawdown
0.09625488638759361,0.1334903330896648,0.7210625980155408,-0.17697832494459886,0.2153608645310691,2591,CSI500,factor_rotation_h20_w504_top8,weekly_hold,504,8,0.0030317908598636034,0.013193224406973396,-0.4312645022929933
0.08921780322222972,0.14983812175896585,0.5954279336586198,-0.23485870310093915,0.22693940563489,2591,CSI1000,factor_rotation_h20_w504_top4,weekly_hold,504,4,-0.03084275870242581,-0.12232194330848789,-0.57264384088225
0.10846027042263273,0.18576473950104844,0.5838582215007525,-0.24663977317758412,0.13304455445544555,1616,STAR50,factor_rotation_h20_w504_top8,monthly_hold,504,8,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.08784452789278241,0.15179948843661026,0.5786879046661958,-0.2538441345789666,0.2292551138556542,2591,CSI1000,factor_rotation_h20_w504_top8,weekly_hold,504,8,-0.03084275870242581,-0.12232194330848789,-0.57264384088225
0.0803531992637132,0.14566808686734498,0.551618415479625,-0.1994482116388061,0.22076418371285217,2591,CSI1000,factor_rotation_h20_w504_top6,weekly_hold,504,6,-0.03084275870242581,-0.12232194330848789,-0.57264384088225
0.07467919062055728,0.14629186244333978,0.5104808249295564,-0.22668758674300704,0.125,1616,STAR50,factor_rotation_h20_w504_top6,weekly_hold,504,6,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.08976354095391348,0.17585928893249758,0.510428203700793,-0.19725264575856571,0.13613861386138615,1616,STAR50,factor_rotation_h20_w504_top4,monthly_hold,504,4,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.09495996699381459,0.1891831386364695,0.5019473071344257,-0.2625196297638155,0.13923267326732675,1616,STAR50,factor_rotation_h20_w504_top4,weekly_hold,504,4,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.09635277656690566,0.19541565155447402,0.4930658102380627,-0.23726682629953677,0.17017326732673269,1616,STAR50,factor_rotation_h20_w252_top4,weekly_hold,252,4,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.07194520661064674,0.15049177961812144,0.4780673522049537,-0.2704077232363784,0.23388653029718257,2591,CSI500,factor_rotation_h20_w126_top6,monthly_hold,126,6,0.0030317908598636034,0.013193224406973396,-0.4312645022929933
0.059289021631585115,0.149150669462771,0.3975109320336242,-0.3067016758011286,0.2300270165959089,2591,CSI500,factor_rotation_h20_w126_top6,weekly_hold,126,6,0.0030317908598636034,0.013193224406973396,-0.4312645022929933
0.05427205690413217,0.14192634447384192,0.38239593294206853,-0.25880270110599524,0.21651871864145117,2591,CSI500,factor_rotation_h20_w504_top8,monthly_hold,504,8,0.0030317908598636034,0.013193224406973396,-0.4312645022929933
0.06511537010873014,0.19056938938175552,0.34168850684770086,-0.34843892461254433,0.1676980198019802,1616,STAR50,factor_rotation_h20_w252_top8,weekly_hold,252,8,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.045519700132700125,0.1474236033948567,0.308768060775051,-0.5113712700214201,0.24585102277113083,2591,CSI500,factor_rotation_h20_w252_top6,weekly_hold,252,6,0.0030317908598636034,0.013193224406973396,-0.4312645022929933
0.05815113847403719,0.1890336730078892,0.30762317394959726,-0.2223414533245156,0.1219059405940594,1616,STAR50,factor_rotation_h20_w504_top8,weekly_hold,504,8,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.04928203331389347,0.16754804142581217,0.29413673173681854,-0.3166694109486874,0.17264851485148514,1616,STAR50,factor_rotation_h20_w126_top6,monthly_hold,126,6,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.04538774033977955,0.15447656947626498,0.2938163405211642,-0.3099603742469096,0.2365881898880741,2591,CSI500,factor_rotation_h20_w126_top4,monthly_hold,126,4,0.0030317908598636034,0.013193224406973396,-0.4312645022929933
0.04072053610577675,0.14226725460103481,0.28622564074896095,-0.2848368727710736,0.21883442686221535,2591,CSI500,factor_rotation_h20_w504_top4,weekly_hold,504,4,0.0030317908598636034,0.013193224406973396,-0.4312645022929933
0.04236449960173516,0.15989161332332677,0.2649576092278666,-0.316678860707703,0.3562331146275569,2591,CSI500,factor_rotation_h20_w126_top4,top_quantile,126,4,0.0030317908598636034,0.013193224406973396,-0.4312645022929933
0.04551219051130295,0.17511480857809325,0.25989915348025283,-0.40400943525290134,0.17574257425742573,1616,STAR50,factor_rotation_h20_w126_top8,weekly_hold,126,8,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.0405887548141628,0.15687810371702735,0.2587279795743563,-0.3104989588713716,0.35391740640679276,2591,CSI500,factor_rotation_h20_w126_top6,top_quantile,126,6,0.0030317908598636034,0.013193224406973396,-0.4312645022929933
0.039053500036010824,0.15342534497533275,0.254543993642574,-0.3561290341629234,0.22655345426476264,2591,CSI1000,factor_rotation_h20_w504_top8,monthly_hold,504,8,-0.03084275870242581,-0.12232194330848789,-0.57264384088225
0.034160813354430664,0.1342912654658101,0.2543785199725282,-0.2517709435869516,0.22848321111539946,2591,CSI500,factor_rotation_h20_w504_top6,weekly_hold,504,6,0.0030317908598636034,0.013193224406973396,-0.4312645022929933
0.04168294610600709,0.17062111466699276,0.2443012178613483,-0.3564944008837,0.24585102277113083,2591,CSI1000,factor_rotation_h20_w126_top4,monthly_hold,126,4,-0.03084275870242581,-0.12232194330848789,-0.57264384088225
0.043216733994411616,0.17703412441331232,0.24411527516308532,-0.31689326029858345,0.3292079207920792,1616,STAR50,factor_rotation_h20_w252_top8,top_quantile,252,8,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.03596614929394626,0.14987461435757143,0.23997492469363813,-0.33996454100901374,0.23272867618680046,2591,CSI500,factor_rotation_h20_w126_top8,monthly_hold,126,8,0.0030317908598636034,0.013193224406973396,-0.4312645022929933
0.04566495190802167,0.1936876548914503,0.2357659394121633,-0.31585205604344646,0.36014851485148514,1616,STAR50,factor_rotation_h20_w504_top4,top_quantile,504,4,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.03786956628509408,0.16316246949031196,0.2320972856281919,-0.3691400605169868,0.2462369741412582,2591,CSI1000,factor_rotation_h20_w126_top6,weekly_hold,126,6,-0.03084275870242581,-0.12232194330848789,-0.57264384088225
0.0343888901521876,0.14924858620723166,0.23041350692889395,-0.22846972740520055,0.21999228097259746,2591,CSI1000,factor_rotation_h20_w504_top4,monthly_hold,504,4,-0.03084275870242581,-0.12232194330848789,-0.57264384088225
0.03036673368506304,0.13679538307576528,0.22198653932818896,-0.371287234354878,0.21420301042068698,2591,CSI500,factor_rotation_h20_w504_top6,monthly_hold,504,6,0.0030317908598636034,0.013193224406973396,-0.4312645022929933
0.03338122832182111,0.15137930303350142,0.22051381961002678,-0.32818336996842146,0.23504438440756464,2591,CSI500,factor_rotation_h20_w126_top4,weekly_hold,126,4,0.0030317908598636034,0.013193224406973396,-0.4312645022929933
0.045663661924785215,0.20964277922258504,0.21781652625537137,-0.31333927642692494,0.35457920792079206,1616,STAR50,factor_rotation_h20_w504_top8,top_quantile,504,8,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.032163497869855506,0.1610737520338282,0.19968180702154767,-0.403847384918248,0.16522277227722773,1616,STAR50,factor_rotation_h20_w252_top6,weekly_hold,252,6,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.03190997362527703,0.16183959971966766,0.197170369183749,-0.35765274425070825,0.2365881898880741,2591,CSI1000,factor_rotation_h20_w126_top8,weekly_hold,126,8,-0.03084275870242581,-0.12232194330848789,-0.57264384088225
0.02961951725392642,0.15519025583987,0.19085938800493205,-0.34564613988073134,0.3546893091470475,2591,CSI500,factor_rotation_h20_w126_top8,top_quantile,126,8,0.0030317908598636034,0.013193224406973396,-0.4312645022929933
0.03072191303671601,0.16801247429650035,0.18285495267749852,-0.3916725572084456,0.23311462755692783,2591,CSI1000,factor_rotation_h20_w252_top8,weekly_hold,252,8,-0.03084275870242581,-0.12232194330848789,-0.57264384088225
0.03256447315335631,0.17951368456509126,0.18140384802557213,-0.30912265869431543,0.33601485148514854,1616,STAR50,factor_rotation_h20_w252_top6,top_quantile,252,6,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.029414087344417972,0.1626093227192583,0.1808880748811727,-0.3432010070129422,0.24006175221922038,2591,CSI1000,factor_rotation_h20_w252_top4,weekly_hold,252,4,-0.03084275870242581,-0.12232194330848789,-0.57264384088225
0.03154452732807944,0.1770049934000415,0.17821264091000524,-0.4245179804697182,0.17202970297029702,1616,STAR50,factor_rotation_h20_w126_top6,weekly_hold,126,6,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.0305593806850748,0.17380802701133038,0.17582260848679135,-0.4349132861118772,0.16336633663366337,1616,STAR50,factor_rotation_h20_w126_top4,weekly_hold,126,4,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.027462953040781724,0.16225508605731104,0.16925788712152529,-0.30175246921162235,0.38479351601698186,2591,CSI1000,factor_rotation_h20_w504_top4,top_quantile,504,4,-0.03084275870242581,-0.12232194330848789,-0.57264384088225
0.027537635337977928,0.16716176572647376,0.1647364468681054,-0.2916758834403599,0.3855654187572366,2591,CSI1000,factor_rotation_h20_w504_top6,top_quantile,504,6,-0.03084275870242581,-0.12232194330848789,-0.57264384088225
0.024922867497839896,0.1573778803863992,0.15836321747788493,-0.35357576712852856,0.1676980198019802,1616,STAR50,factor_rotation_h20_w252_top8,monthly_hold,252,8,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.02385991452781222,0.15195138039679276,0.15702334829408257,-0.4501800868008343,0.2551138556541876,2591,CSI500,factor_rotation_h20_w252_top4,weekly_hold,252,4,0.0030317908598636034,0.013193224406973396,-0.4312645022929933
0.022971015971219977,0.15569021839583136,0.14754309042600092,-0.2513655630456588,0.23195677344654572,2591,CSI1000,factor_rotation_h20_w504_top6,monthly_hold,504,6,-0.03084275870242581,-0.12232194330848789,-0.57264384088225
0.022556070250354665,0.1639224294577053,0.1376020982910975,-0.37703529373752587,0.2473948282516403,2591,CSI1000,factor_rotation_h20_w252_top4,monthly_hold,252,4,-0.03084275870242581,-0.12232194330848789,-0.57264384088225
0.01816005476828164,0.1503137212667737,0.12081435157906543,-0.32720784350011656,0.3705133153222694,2591,CSI500,factor_rotation_h20_w504_top6,top_quantile,504,6,0.0030317908598636034,0.013193224406973396,-0.4312645022929933
0.017380208469669922,0.14499323529418445,0.11986909895766032,-0.38551085961063003,0.2172906213817059,2591,CSI500,factor_rotation_h20_w126_top8,weekly_hold,126,8,0.0030317908598636034,0.013193224406973396,-0.4312645022929933
0.018864672458152043,0.16197423706032726,0.11646711724362623,-0.4536920206045303,0.17388613861386137,1616,STAR50,factor_rotation_h20_w252_top4,monthly_hold,252,4,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.019429846414405594,0.16705726492647738,0.11630650377855015,-0.392237911110508,0.2454650714010035,2591,CSI1000,factor_rotation_h20_w126_top4,weekly_hold,126,4,-0.03084275870242581,-0.12232194330848789,-0.57264384088225
0.021654331413336614,0.1865837284248761,0.116056912337108,-0.4134055321995481,0.33292079207920794,1616,STAR50,factor_rotation_h20_w126_top6,top_quantile,126,6,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.019194905507018634,0.1758423429150502,0.1091597461044507,-0.4642336071050336,0.3631802392898495,2591,CSI1000,factor_rotation_h20_w126_top4,top_quantile,126,4,-0.03084275870242581,-0.12232194330848789,-0.57264384088225
0.016223857684815934,0.15243275283534877,0.10643288521030805,-0.3357331119842708,0.3651099961404863,2591,CSI500,factor_rotation_h20_w504_top8,top_quantile,504,8,0.0030317908598636034,0.013193224406973396,-0.4312645022929933
0.01758763748338077,0.1666031708123613,0.10556604293677606,-0.33572634961310566,0.382863759166345,2591,CSI1000,factor_rotation_h20_w504_top8,top_quantile,504,8,-0.03084275870242581,-0.12232194330848789,-0.57264384088225
