index,strategy,mode,strategy_ann_ret,strategy_ann_vol,strategy_sharpe,strategy_max_drawdown,strategy_win_rate,strategy_n_days,benchmark_ann_ret,benchmark_ann_vol,benchmark_sharpe,benchmark_max_drawdown,benchmark_win_rate,benchmark_n_days
CSI500,factor_rotation_h20_w504_top8,weekly_hold,0.08346134445441011,0.1231805230833073,0.6775530933406168,-0.20080608803732924,0.1864864864864865,2590,0.011553290007773942,0.2283665450336819,0.05059099180254245,-0.4312645022929943,0.522007722007722,2590
CSI1000,factor_rotation_h20_w504_top8,weekly_hold,0.13240564570559976,0.14568060882024503,0.908876251807643,-0.16797394079908967,0.20193050193050194,2590,-0.022272031902523692,0.2507402089240929,-0.0888251309915202,-0.5726438408822501,0.5351351351351351,2590
STAR50,factor_rotation_h20_w504_top8,monthly_hold,0.10846027042263273,0.18576473950104844,0.5838582215007525,-0.24663977317758412,0.13304455445544555,1616,0.08096920034539701,0.34034327051434765,0.23790451394273604,-0.626567472120988,0.4931930693069307,1616
