ann_ret,ann_vol,sharpe,max_drawdown,win_rate,n_days,index,strategy,mode,window,top_n,benchmark_ann_ret,benchmark_sharpe,benchmark_max_drawdown
0.13240564570559976,0.14568060882024503,0.908876251807643,-0.16797394079908967,0.20193050193050194,2590,CSI1000,factor_rotation_h20_w504_top8,weekly_hold,504,8,-0.022272031902523692,-0.0888251309915202,-0.5726438408822501
0.1283905401874148,0.15321797225305447,0.8379600532460073,-0.20906117432842009,0.21351351351351353,2590,CSI1000,factor_rotation_h20_w504_top6,weekly_hold,504,6,-0.022272031902523692,-0.0888251309915202,-0.5726438408822501
0.08346134445441011,0.1231805230833073,0.6775530933406168,-0.20080608803732924,0.1864864864864865,2590,CSI500,factor_rotation_h20_w504_top8,weekly_hold,504,8,0.011553290007773942,0.05059099180254245,-0.4312645022929943
0.08072375778776286,0.13432411809526754,0.6009624997538465,-0.172840776293116,0.19498069498069498,2590,CSI500,factor_rotation_h20_w504_top6,weekly_hold,504,6,0.011553290007773942,0.05059099180254245,-0.4312645022929943
0.10846027042263273,0.18576473950104844,0.5838582215007525,-0.24663977317758412,0.13304455445544555,1616,STAR50,factor_rotation_h20_w504_top8,monthly_hold,504,8,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.0823791211759064,0.14881300791119526,0.5535747333664975,-0.2547836594744394,0.3567567567567568,2590,CSI500,factor_rotation_h20_w126_top4,top_quantile,126,4,0.011553290007773942,0.05059099180254245,-0.4312645022929943
0.08193543224255562,0.14806070524389037,0.5533908008042305,-0.2873412274861509,0.20154440154440154,2590,CSI1000,factor_rotation_h20_w504_top4,weekly_hold,504,4,-0.022272031902523692,-0.0888251309915202,-0.5726438408822501
0.07467919062055728,0.14629186244333978,0.5104808249295564,-0.22668758674300704,0.125,1616,STAR50,factor_rotation_h20_w504_top6,weekly_hold,504,6,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.08976354095391348,0.17585928893249758,0.510428203700793,-0.19725264575856571,0.13613861386138615,1616,STAR50,factor_rotation_h20_w504_top4,monthly_hold,504,4,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.09495996699381459,0.1891831386364695,0.5019473071344257,-0.2625196297638155,0.13923267326732675,1616,STAR50,factor_rotation_h20_w504_top4,weekly_hold,504,4,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.09635277656690566,0.19541565155447402,0.4930658102380627,-0.23726682629953677,0.17017326732673269,1616,STAR50,factor_rotation_h20_w252_top4,weekly_hold,252,4,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.07120784144538672,0.15101145166589564,0.4715393479093895,-0.21838623502216503,0.2193050193050193,2590,CSI1000,factor_rotation_h20_w126_top4,weekly_hold,126,4,-0.022272031902523692,-0.0888251309915202,-0.5726438408822501
0.06891785264401018,0.1466548676042195,0.469932255027499,-0.2685234483503812,0.3528957528957529,2590,CSI500,factor_rotation_h20_w126_top6,top_quantile,126,6,0.011553290007773942,0.05059099180254245,-0.4312645022929943
